MonsoonIntensity,TopographyDrainage,RiverManagement,Deforestation,Urbanization,ClimateChange,DamsQuality,Siltation,AgriculturalPractices,Encroachments,IneffectiveDisasterPreparedness,DrainageSystems,CoastalVulnerability,Landslides,Watersheds,DeterioratingInfrastructure,PopulationScore,WetlandLoss,InadequatePlanning,PoliticalFactors,FloodProbability
5,3,2,3,6,4,4,7,7,4,1,8,2,6,10,6,7,7,3,4,0.495
4,4,5,4,6,6,9,4,3,3,6,4,3,6,7,7,4,6,3,3,0.485
6,6,5,6,5,7,2,2,3,6,8,5,2,4,3,3,6,8,6,6,0.495
7,7,6,4,1,8,5,3,10,7,6,4,2,1,3,5,6,8,4,4,0.505
3,7,3,5,3,4,5,5,5,3,5,6,8,5,4,8,5,11,3,3,0.505
1,5,7,5,9,5,1,8,7,7,4,3,9,5,3,2,3,6,7,11,0.54
4,8,8,2,3,3,6,4,5,3,8,6,4,4,7,3,8,1,6,6,0.495
9,5,5,4,5,7,7,3,11,9,1,6,3,2,8,8,7,3,6,8,0.585
5,6,7,8,3,9,3,5,6,5,4,4,5,4,3,4,7,4,3,8,0.515
5,1,3,6,4,6,3,5,5,6,7,4,4,5,3,3,10,8,4,3,0.475
4,5,7,9,3,5,6,10,4,8,2,6,6,4,3,8,4,6,12,6,0.59
4,7,4,11,6,8,2,5,4,7,3,4,1,3,4,8,4,7,4,5,0.505
8,3,3,3,8,5,8,5,5,6,9,9,3,6,6,2,5,4,7,4,0.545
5,2,2,4,3,8,5,4,6,8,7,1,8,4,5,7,4,9,4,6,0.51
4,2,6,2,5,3,5,5,5,3,2,2,4,7,5,4,5,8,4,8,0.445
7,2,4,0,5,6,4,9,8,4,3,9,2,4,8,3,6,4,8,8,0.52
3,3,6,5,4,4,5,7,6,6,5,8,5,7,7,4,4,6,4,8,0.535
6,4,2,3,3,7,6,9,5,8,2,7,4,5,7,7,10,9,5,12,0.605
7,2,3,5,9,7,4,8,6,8,5,3,6,5,4,3,3,5,1,3,0.485
6,6,4,4,3,6,5,3,3,3,10,7,6,4,7,7,7,4,8,7,0.55
4,3,5,8,3,4,4,4,1,4,7,3,3,6,6,2,8,3,5,3,0.43
0,3,5,8,6,4,6,4,4,4,6,5,2,2,7,3,4,3,7,3,0.43
1,3,3,5,3,7,5,4,5,6,4,11,6,8,6,6,7,5,3,4,0.51
4,7,6,5,7,3,2,6,4,2,5,4,5,6,6,2,4,4,2,3,0.435
7,7,2,8,4,8,4,5,4,4,1,1,5,5,6,9,9,4,7,9,0.545
6,3,3,4,6,5,5,1,7,8,3,7,1,2,5,2,3,8,0,5,0.42
4,5,2,3,3,7,3,4,4,7,2,3,4,3,3,4,5,2,6,5,0.395
2,1,5,5,6,4,7,6,4,5,7,2,1,6,3,4,2,6,3,4,0.415
6,4,3,6,4,5,5,6,8,1,2,2,4,4,5,7,3,7,6,6,0.47
7,5,4,2,6,4,5,7,5,5,7,4,6,5,7,5,3,1,6,5,0.495
5,3,7,2,7,2,6,5,6,6,6,2,4,5,2,3,4,8,8,2,0.465
6,2,3,7,4,4,5,4,7,3,6,6,8,5,6,6,6,5,10,1,0.52
5,2,5,8,4,6,4,6,4,2,10,3,4,5,5,8,3,13,3,2,0.51
6,6,6,5,5,5,6,6,5,5,5,6,5,3,7,3,1,5,5,2,0.485
2,4,7,1,5,7,4,1,2,8,7,1,4,4,6,6,7,8,6,4,0.47
4,6,7,4,5,9,5,9,5,8,9,7,8,6,2,2,4,6,5,1,0.56
3,2,5,5,5,2,3,3,7,6,7,4,4,5,0,5,3,11,6,6,0.46
2,7,5,2,4,7,5,5,0,5,3,4,8,10,5,4,9,3,7,3,0.49
4,2,4,1,5,5,3,5,2,4,4,5,4,4,5,4,2,4,6,3,0.38
5,3,1,7,4,9,2,2,2,5,8,2,9,2,7,5,5,3,12,5,0.49
9,6,10,3,6,6,6,5,4,6,5,2,8,7,5,8,6,8,9,7,0.63
4,7,1,2,4,5,9,2,6,3,4,7,3,2,7,5,5,3,4,4,0.435
6,4,4,4,5,6,7,3,6,3,5,9,4,4,1,9,4,6,3,3,0.48
5,1,10,3,3,3,7,2,3,9,7,3,1,3,4,7,3,2,3,4,0.415
3,6,6,3,2,6,4,9,7,5,4,5,4,5,7,5,5,2,8,5,0.505
12,4,5,2,9,8,6,7,7,5,9,3,5,6,7,4,8,5,4,4,0.6
4,12,5,2,5,2,6,6,7,4,1,3,5,6,3,4,2,11,3,7,0.49
9,8,8,5,5,1,5,8,6,6,4,8,3,7,5,10,5,9,4,6,0.61
4,2,4,4,4,2,7,4,2,4,7,5,9,8,1,5,8,4,8,7,0.495
7,3,7,3,3,4,2,3,6,3,7,4,2,2,11,6,5,4,4,7,0.465
4,3,5,9,4,5,7,8,7,11,6,5,7,5,12,12,3,5,5,7,0.65
9,6,3,2,5,3,4,3,4,3,4,5,3,7,2,8,4,2,7,6,0.45
3,10,3,4,8,3,5,8,5,3,4,4,1,4,4,3,6,5,4,3,0.45
7,10,2,7,6,5,1,8,3,6,3,2,6,4,2,4,5,1,5,6,0.465
7,6,3,5,3,5,11,5,6,5,9,6,5,4,4,4,6,6,3,3,0.53
8,5,4,4,6,4,9,2,5,3,2,11,7,4,2,7,4,8,4,4,0.515
8,4,6,4,5,2,6,2,3,12,8,9,2,5,5,9,2,7,5,7,0.555
4,6,4,9,3,6,3,0,7,7,4,6,6,3,4,5,2,4,2,2,0.435
4,0,6,1,7,3,6,7,3,4,3,1,4,4,5,8,3,6,5,7,0.435
4,3,4,5,7,3,3,7,6,7,8,3,1,3,5,2,2,4,5,2,0.42
2,4,9,3,7,5,4,9,7,6,2,4,7,8,7,8,4,4,5,8,0.565
4,0,4,2,8,6,5,3,7,4,4,3,5,5,3,5,3,2,1,5,0.395
3,3,4,5,1,5,2,4,6,4,3,8,5,2,3,4,7,3,5,4,0.405
2,4,7,6,5,3,4,7,1,6,6,6,1,4,4,4,7,4,4,4,0.445
4,1,4,4,4,6,5,5,5,5,5,6,2,4,3,4,6,6,5,3,0.435
7,4,6,4,6,6,6,5,7,3,7,6,7,4,4,6,5,5,7,4,0.545
8,10,8,4,5,3,0,5,2,4,8,3,6,3,7,2,5,4,6,6,0.495
3,2,3,5,7,4,10,5,5,7,5,7,4,4,6,3,10,4,5,6,0.525
7,2,1,3,6,3,5,5,6,9,6,6,5,5,11,9,3,5,5,3,0.525
2,4,5,7,4,7,3,4,4,4,3,5,3,1,8,4,6,5,4,6,0.445
6,5,3,2,5,3,3,4,7,3,7,5,9,5,7,7,5,2,2,9,0.495
2,7,4,4,7,5,5,3,4,6,5,1,4,4,8,4,6,2,6,5,0.46
7,2,2,4,1,6,5,3,4,7,1,6,7,4,5,5,7,3,8,4,0.455
5,2,5,7,8,6,5,5,3,2,3,8,3,6,3,5,8,6,5,7,0.51
7,5,2,7,10,7,8,7,5,4,2,6,5,2,2,6,2,4,5,6,0.51
3,5,3,3,3,2,5,1,6,5,2,7,12,1,8,2,3,9,10,6,0.48
8,12,2,6,3,4,6,2,4,7,7,3,6,6,5,6,3,4,7,4,0.525
8,6,4,5,4,3,4,8,6,5,5,7,3,5,3,5,4,1,4,4,0.47
1,6,8,5,6,8,9,3,5,3,4,4,5,6,4,3,4,8,3,7,0.51
5,4,4,3,8,3,6,7,5,8,3,6,1,3,5,7,8,6,7,7,0.53
2,5,4,10,5,10,8,6,7,3,5,3,5,3,6,4,8,4,8,3,0.545
8,8,7,4,5,3,3,8,3,8,8,2,4,4,4,3,4,7,7,5,0.525
6,11,6,5,3,4,5,5,7,3,3,3,4,3,7,1,12,7,4,7,0.53
5,8,3,1,0,9,4,4,3,6,3,4,8,3,6,8,4,2,3,2,0.43
1,4,2,7,8,6,4,5,5,5,5,5,5,4,7,3,5,2,9,2,0.47
8,4,5,7,3,8,4,5,2,6,6,5,6,4,5,6,5,5,5,6,0.525
5,9,9,5,5,7,5,6,10,2,9,6,3,6,6,7,5,3,6,5,0.595
5,1,6,14,8,7,6,5,3,3,3,6,5,6,6,6,2,6,1,4,0.515
3,8,5,3,6,5,6,3,7,0,4,7,5,8,6,3,3,4,4,8,0.49
4,2,8,7,9,7,10,4,4,6,4,2,5,7,4,3,4,4,1,4,0.495
4,5,7,3,5,9,9,8,6,2,10,3,4,1,4,7,1,11,5,5,0.545
8,5,3,11,6,3,4,5,5,7,5,9,9,6,5,3,5,10,3,6,0.59
7,3,9,4,9,5,9,3,7,6,8,6,5,4,3,4,2,3,4,6,0.535
6,6,8,8,8,2,8,4,6,7,4,3,2,8,8,2,5,5,2,6,0.54
0,5,10,8,1,7,3,5,7,7,7,4,5,4,4,3,6,3,3,6,0.49
3,7,4,3,4,3,7,7,7,8,2,7,6,5,7,5,5,6,8,5,0.545
3,7,7,4,7,9,8,4,1,6,6,4,4,4,4,4,9,4,7,2,0.52
5,6,8,7,8,5,7,5,9,4,2,1,5,10,4,8,5,5,5,2,0.555
3,2,2,3,6,5,3,7,8,5,0,3,2,5,4,4,7,8,6,7,0.45
4,8,3,4,4,3,6,4,3,3,7,6,6,2,9,5,5,1,7,7,0.485
5,4,6,3,3,4,4,3,7,2,7,8,4,2,3,3,6,3,5,4,0.43
4,6,4,5,5,4,8,6,1,9,4,4,6,4,8,6,7,5,4,8,0.54
1,2,5,6,6,3,6,4,2,5,7,7,3,6,5,9,3,4,9,7,0.5
7,8,4,4,5,9,10,6,3,7,7,7,5,3,4,1,6,9,6,8,0.595
8,3,3,5,2,6,6,2,4,1,7,3,4,7,5,5,5,4,9,7,0.48
7,5,4,5,3,5,5,2,7,3,1,6,3,10,4,2,4,4,7,4,0.455
8,1,7,7,5,6,7,4,7,2,5,1,2,2,3,7,5,6,8,8,0.505
4,3,5,2,13,6,3,7,2,11,4,9,3,4,7,5,9,6,5,7,0.575
3,3,5,4,4,5,5,9,6,9,5,5,6,4,4,4,4,5,7,3,0.5
4,4,11,2,4,4,3,5,6,5,6,4,3,2,4,5,7,9,5,3,0.48
7,4,5,4,4,6,6,5,4,2,3,3,5,4,8,4,7,3,8,13,0.525
3,8,3,6,5,10,6,7,8,3,7,8,8,7,4,5,3,1,4,3,0.545
8,9,9,3,4,10,7,5,5,3,6,4,6,1,5,3,8,5,9,7,0.585
6,6,2,8,3,1,6,5,6,6,6,6,7,4,6,6,6,9,4,4,0.535
5,5,3,4,6,9,4,8,4,3,8,5,5,4,7,4,9,5,3,1,0.51
7,7,4,4,4,5,7,7,6,6,3,3,7,2,4,6,2,4,3,5,0.48
5,3,5,4,4,9,4,4,4,6,7,3,3,4,3,8,6,3,4,1,0.45
5,1,6,4,3,4,5,5,2,3,4,1,5,2,4,5,5,6,1,6,0.385
6,7,4,4,3,2,3,3,5,5,5,7,6,5,6,6,5,2,5,4,0.465
5,4,4,7,7,7,9,5,11,5,1,9,0,2,5,7,0,5,6,7,0.53
4,5,6,3,8,6,3,9,8,3,2,2,2,6,2,4,5,5,4,8,0.475
4,2,6,5,6,4,5,3,5,7,7,9,5,7,4,5,5,10,5,4,0.54
8,5,5,7,6,2,2,8,7,1,10,4,4,4,2,7,9,6,7,8,0.56
3,10,6,6,5,4,7,4,5,3,7,2,5,6,6,8,5,4,5,7,0.54
6,6,6,3,7,6,12,3,3,6,12,7,4,4,3,6,3,2,5,3,0.535
9,6,5,4,3,7,5,5,5,4,6,5,3,4,7,6,2,7,4,8,0.525
7,5,9,14,5,8,4,5,4,3,1,3,5,6,7,4,8,4,4,3,0.545
6,7,8,8,3,7,5,5,3,9,1,6,4,9,3,5,3,6,6,3,0.535
4,5,5,3,7,5,3,3,2,4,7,8,5,6,4,2,5,3,3,7,0.455
5,2,8,7,9,6,7,6,8,2,7,5,4,3,2,5,3,3,6,5,0.515
4,6,4,5,2,8,7,4,4,6,3,3,6,1,4,2,3,8,4,7,0.455
10,6,4,5,5,6,4,8,4,4,3,1,8,1,5,8,4,2,6,5,0.495
8,2,2,8,6,5,10,2,4,6,2,3,5,3,5,4,5,9,4,5,0.49
7,2,6,1,4,5,3,6,5,10,4,12,3,4,5,6,7,3,6,7,0.53
3,5,8,5,7,4,2,5,1,3,5,3,6,9,1,2,6,6,3,10,0.47
4,5,1,3,4,4,8,4,5,4,2,5,5,4,6,8,4,5,3,7,0.455
3,4,6,4,3,5,5,3,2,7,6,9,5,3,1,8,4,4,4,3,0.445
6,6,7,2,6,5,0,3,2,4,8,9,4,7,5,9,7,6,5,7,0.54
2,4,2,4,3,4,2,2,3,7,8,4,3,3,2,5,5,3,5,3,0.37
2,3,7,9,1,5,6,3,7,4,6,2,6,7,4,5,6,7,3,5,0.49
2,3,7,4,5,6,5,6,3,4,7,7,2,5,2,9,9,5,4,4,0.495
5,7,5,8,7,3,8,5,5,9,5,4,6,4,5,5,4,2,9,6,0.56
4,9,4,10,4,6,2,6,6,2,5,5,3,4,7,7,3,2,5,4,0.49
10,1,6,2,3,11,2,2,2,3,6,4,6,4,3,7,3,3,6,4,0.44
4,5,4,6,8,7,8,3,6,5,2,6,4,8,5,4,10,2,7,8,0.56
7,3,4,6,4,4,1,3,8,4,8,4,3,2,4,5,6,3,1,3,0.415
5,2,7,4,4,3,4,2,8,5,4,6,8,11,5,1,5,6,6,5,0.505
9,3,5,5,4,4,2,4,2,4,3,4,8,10,9,3,5,2,2,7,0.475
7,6,7,7,8,8,3,2,2,7,7,6,2,7,4,7,4,4,2,4,0.52
4,8,2,2,11,5,7,4,5,3,5,5,3,4,4,12,4,4,4,3,0.495
3,6,5,4,6,4,2,4,3,5,3,6,4,7,4,3,5,4,3,6,0.435
5,5,3,4,8,5,4,2,5,4,3,8,3,6,5,7,4,6,6,6,0.495
2,5,3,4,5,2,11,3,7,4,3,6,3,6,3,6,4,7,6,6,0.48
6,6,5,7,4,4,6,6,9,5,6,10,5,4,9,5,4,5,5,3,0.57
7,4,4,9,2,5,11,3,4,2,8,2,5,2,2,4,4,3,6,3,0.45
1,3,4,5,6,4,8,2,5,8,6,4,7,2,9,4,7,6,7,5,0.515
5,2,6,2,5,4,8,4,4,5,2,3,5,3,3,5,8,5,1,4,0.42
5,2,5,6,3,6,3,2,6,3,4,8,6,0,3,1,6,5,4,3,0.405
8,3,4,8,7,4,8,9,5,4,8,7,3,6,3,6,4,4,9,7,0.585
4,4,1,9,3,9,3,4,8,6,6,3,6,6,4,4,5,6,1,5,0.485
1,5,8,9,6,6,7,4,12,5,4,4,2,6,3,10,6,2,5,5,0.55
6,5,4,4,7,0,4,4,0,4,5,2,8,5,8,8,4,9,3,5,0.475
7,1,6,7,5,7,3,3,3,3,4,9,11,1,3,9,6,1,8,3,0.5
11,5,4,3,4,5,4,3,4,6,7,3,9,6,3,5,10,3,5,5,0.525
7,4,8,7,7,6,3,6,4,6,5,3,3,9,4,3,5,8,2,6,0.53
6,5,3,4,3,5,5,4,5,7,5,5,3,4,5,2,6,5,7,2,0.455
5,4,2,5,5,7,6,6,6,3,4,4,6,3,6,5,7,7,5,5,0.505
3,11,9,1,6,5,5,3,1,4,3,5,2,6,5,9,8,8,5,7,0.53
8,5,1,2,7,3,9,3,1,4,5,4,2,2,10,3,4,7,7,11,0.49
8,10,4,5,9,3,4,3,4,2,8,5,7,2,4,3,2,1,7,3,0.47
3,9,4,3,6,5,4,4,2,4,7,8,5,5,4,4,4,2,6,7,0.48
6,7,5,8,5,2,9,2,3,7,6,5,4,3,3,0,3,5,8,4,0.475
2,7,1,4,3,9,6,4,4,7,7,6,3,4,5,4,8,9,5,7,0.525
8,5,8,6,3,6,2,5,3,7,9,10,4,6,6,2,5,7,2,5,0.545
1,3,7,5,8,3,5,6,2,5,8,5,4,4,5,6,3,7,2,5,0.47
2,6,8,3,2,3,6,7,7,3,7,5,7,4,1,4,6,7,2,9,0.495
5,3,3,8,5,2,2,6,8,8,2,7,7,5,6,4,6,6,5,3,0.505
7,7,3,4,7,6,3,5,5,3,7,6,5,3,8,6,6,3,5,7,0.53
4,7,8,4,4,2,5,7,6,5,4,3,4,6,3,10,9,5,4,8,0.54
9,9,6,9,2,5,2,7,6,2,5,7,5,5,5,5,3,5,2,5,0.52
3,3,5,6,2,4,6,7,3,3,1,4,9,8,7,5,5,4,6,2,0.465
3,4,5,3,3,3,9,3,5,4,2,4,7,5,3,5,5,7,2,3,0.425
2,6,1,5,3,5,7,10,4,5,5,5,4,6,7,5,7,4,6,6,0.515
6,7,7,3,2,5,4,3,5,7,4,7,3,5,3,5,4,4,5,7,0.48
8,6,4,5,5,7,8,3,8,7,6,9,5,8,4,5,4,7,9,5,0.615
2,6,1,5,8,9,6,6,3,1,5,5,2,9,6,5,5,6,5,7,0.51
6,2,3,7,3,3,7,7,1,3,7,4,7,8,5,8,6,6,4,4,0.505
7,4,4,7,4,7,2,5,4,3,11,4,7,4,3,5,9,5,4,4,0.515
4,9,8,3,4,2,3,6,7,6,3,6,3,4,6,5,0,6,6,5,0.48
3,2,2,3,3,5,8,4,7,5,8,6,5,6,5,13,2,6,5,2,0.5
8,3,11,4,3,4,3,5,5,4,8,10,4,9,4,10,6,8,7,6,0.61
2,7,4,7,3,5,6,2,4,4,4,2,6,7,1,3,5,7,3,2,0.42
7,6,3,9,2,5,6,5,7,7,8,5,5,3,4,4,5,8,3,3,0.525
2,4,4,5,8,3,8,3,6,8,5,6,3,8,6,2,5,7,2,1,0.48
13,5,5,8,3,4,6,3,4,6,5,5,5,5,4,9,8,3,8,4,0.565
8,2,2,2,4,7,2,6,6,7,5,8,3,4,4,7,7,2,9,8,0.515
2,1,2,11,8,6,3,7,4,2,4,7,9,7,5,7,2,4,6,6,0.515
3,3,5,5,4,1,9,4,3,3,5,8,3,4,3,3,9,5,5,5,0.45
4,5,3,7,4,3,6,3,3,11,9,7,3,6,5,7,5,6,5,6,0.54
7,7,4,6,4,10,3,3,5,4,4,2,7,5,4,5,10,3,6,5,0.52
9,2,6,3,5,8,4,3,8,4,2,2,7,6,5,5,2,4,7,2,0.47
1,5,2,3,3,5,5,6,6,1,5,6,7,5,5,3,6,3,6,4,0.435
1,5,2,3,5,4,2,6,8,1,6,4,2,7,4,4,4,2,6,3,0.395
2,3,4,5,8,3,4,6,2,4,6,7,6,5,6,7,7,4,4,6,0.495
3,2,9,2,3,8,4,4,3,5,7,6,10,4,3,4,4,7,12,4,0.52
3,5,8,7,5,7,10,3,3,6,7,4,6,7,11,5,3,3,3,7,0.565
10,3,10,5,9,4,4,5,3,3,5,6,5,5,5,6,3,9,5,4,0.545
9,7,5,8,5,3,11,7,9,3,5,6,8,4,2,4,7,4,4,5,0.58
3,3,4,3,8,9,4,6,8,3,4,1,4,7,5,4,5,5,3,5,0.47
2,2,5,2,6,5,2,4,3,5,8,7,8,7,6,6,8,2,0,7,0.475
1,6,3,2,13,4,11,6,3,7,6,8,5,4,9,5,5,4,5,7,0.57
3,5,4,4,6,7,6,8,6,9,6,2,7,2,4,6,6,7,3,3,0.52
4,3,5,4,5,3,9,5,1,4,5,7,3,4,6,3,4,3,2,8,0.44
10,1,7,3,3,7,9,1,3,5,6,8,4,3,5,4,3,3,6,8,0.495
3,6,5,6,7,5,3,7,2,7,5,3,8,5,4,4,5,2,5,0,0.46
5,6,5,6,9,3,4,6,8,5,6,4,5,2,5,5,4,4,6,1,0.495
5,5,3,3,9,1,6,4,4,6,5,4,5,4,5,4,2,6,5,4,0.45
5,5,5,6,2,5,5,0,5,6,5,6,5,10,8,4,8,5,5,1,0.505
6,2,3,4,5,2,12,7,6,5,6,7,6,5,8,8,3,9,4,5,0.565
3,5,5,5,7,5,8,3,1,3,4,0,7,3,9,1,8,9,6,2,0.47
6,6,8,4,2,7,4,6,3,3,6,7,2,7,7,4,3,4,3,5,0.485
8,8,5,4,2,6,9,2,6,2,2,8,6,7,10,4,10,6,4,2,0.555
6,8,9,4,8,3,5,4,2,5,6,4,1,3,6,6,8,5,4,4,0.505
5,5,7,7,2,3,6,2,6,4,9,3,5,5,7,5,4,6,6,7,0.52
5,6,1,4,3,9,4,6,4,2,6,4,5,5,4,6,1,5,6,7,0.465
3,6,5,2,7,6,9,7,7,5,6,4,11,5,3,3,4,7,4,3,0.535
7,3,7,1,4,3,4,5,7,9,6,5,6,2,6,2,6,12,3,7,0.525
4,4,7,4,7,5,4,6,8,4,6,7,7,5,5,4,5,2,2,8,0.52
9,9,3,2,3,4,5,4,4,5,6,6,2,3,6,6,8,5,8,6,0.52
5,5,5,3,6,5,9,8,4,4,5,5,4,4,4,5,8,3,4,5,0.505
2,2,2,3,3,6,10,5,7,2,6,3,7,12,4,6,6,4,6,8,0.52
5,4,10,7,3,2,1,3,1,3,6,3,4,0,3,5,6,5,4,1,0.38
7,5,8,3,7,2,3,7,10,6,4,4,9,4,5,1,8,8,2,5,0.54
11,4,5,5,1,6,5,5,6,4,3,5,6,5,5,4,3,7,4,8,0.51
3,8,3,6,2,1,5,4,5,7,3,3,7,4,6,4,3,6,5,8,0.465
6,8,7,7,4,5,8,3,5,5,8,1,5,1,7,1,1,4,10,5,0.505
8,1,4,6,3,3,2,5,7,6,4,8,3,3,3,2,3,6,8,3,0.44
4,6,5,9,4,1,3,8,4,5,8,4,6,6,6,4,2,4,3,8,0.5
5,8,4,3,6,4,6,7,10,7,5,13,4,6,5,6,3,4,10,8,0.62
2,3,5,4,8,6,4,4,4,5,1,8,1,3,5,6,4,7,4,3,0.435
7,4,2,1,7,7,2,4,6,2,12,4,5,8,3,4,3,2,6,3,0.46
3,4,6,1,7,6,4,8,7,6,2,4,6,6,8,3,4,4,7,4,0.5
7,5,10,6,9,3,5,6,3,6,4,6,2,3,7,8,8,10,3,7,0.59
9,7,6,10,5,6,4,7,4,6,10,5,5,4,3,4,4,4,6,6,0.575
0,4,9,4,8,2,8,3,4,4,5,7,2,1,5,4,9,3,5,8,0.475
5,3,4,3,4,7,3,6,4,2,2,6,9,2,2,6,2,1,6,6,0.415
2,9,6,3,5,3,8,5,3,8,4,2,5,5,6,11,4,7,11,3,0.55
7,3,6,7,3,8,5,6,7,7,8,4,2,3,7,5,5,5,5,6,0.545
6,2,4,8,9,3,6,7,7,12,2,4,6,8,4,5,5,3,5,5,0.555
5,6,5,5,8,4,4,5,5,2,4,10,6,10,3,6,4,8,7,4,0.555
5,7,6,7,6,12,5,5,4,4,5,11,1,3,1,5,5,4,7,2,0.525
5,6,5,7,7,7,4,2,5,6,4,4,2,4,5,6,4,1,1,4,0.445
7,4,3,6,8,6,2,6,4,4,5,6,5,5,7,4,3,4,9,7,0.525
7,0,3,2,15,2,2,5,4,5,7,4,2,4,4,3,7,4,5,5,0.45
2,7,2,5,5,6,6,3,6,3,3,4,4,4,5,7,5,9,5,8,0.495
6,4,8,6,8,1,4,8,4,2,6,4,3,5,3,5,4,4,9,5,0.495
5,11,4,3,4,5,5,4,6,3,4,6,5,4,5,8,6,9,5,8,0.55
3,3,3,5,4,6,6,6,4,4,7,6,4,3,4,5,2,3,7,6,0.455
7,10,4,2,4,7,6,3,5,8,8,13,5,4,1,5,8,7,5,7,0.595
4,4,5,2,8,4,4,6,4,5,6,4,7,3,1,5,5,2,2,3,0.42
3,4,3,2,8,6,5,3,6,3,3,6,3,4,7,7,7,5,3,8,0.48
6,4,6,6,9,6,5,2,5,4,4,7,1,2,3,4,4,5,1,6,0.45
3,2,6,6,6,1,8,4,3,6,1,3,5,3,2,5,5,2,4,6,0.405
3,6,0,5,5,6,5,5,6,5,7,4,5,8,11,7,4,4,3,7,0.53
8,8,8,3,3,2,3,4,3,2,4,5,9,5,3,3,4,4,1,7,0.445
4,3,7,7,1,3,7,5,7,2,6,5,3,7,6,8,7,5,3,4,0.5
4,2,6,3,3,6,6,5,4,6,5,6,4,5,1,6,10,5,5,5,0.485
9,2,5,10,9,8,7,11,4,4,6,9,6,7,3,4,2,6,5,7,0.62
3,4,1,4,3,4,7,5,2,9,9,2,9,3,6,7,3,9,2,6,0.49
3,5,6,1,7,3,5,5,5,3,5,5,6,3,6,5,6,5,5,8,0.485
1,5,4,4,9,5,5,10,8,5,4,5,5,6,4,7,5,3,4,8,0.535
4,3,7,3,6,7,3,2,6,5,7,2,9,8,7,1,4,4,5,4,0.485
4,4,6,7,7,7,5,2,5,4,5,14,3,4,5,4,4,3,5,4,0.51
5,5,5,8,2,8,6,3,8,5,5,7,10,2,2,3,1,5,4,5,0.495
2,7,4,5,2,5,6,6,5,6,7,7,4,9,11,5,4,5,3,3,0.53
6,6,6,11,9,2,4,2,10,3,6,2,6,4,6,3,3,6,8,2,0.525
4,1,6,13,4,6,5,5,2,4,4,8,10,5,5,7,2,5,2,6,0.52
8,2,6,5,4,6,8,5,4,7,6,4,4,8,7,9,8,3,4,7,0.575
8,1,8,3,5,1,2,7,4,4,4,4,9,8,1,6,5,5,6,7,0.49
2,2,2,10,2,2,4,4,5,7,1,4,3,4,11,2,3,5,5,7,0.425
4,1,9,6,5,5,6,5,4,4,6,6,2,5,5,6,6,9,5,3,0.51
5,7,4,6,7,7,7,5,7,7,4,3,10,5,6,1,6,3,7,8,0.575
2,3,8,4,3,6,6,5,7,3,7,5,8,4,3,4,2,4,4,7,0.475
4,8,3,9,6,3,7,4,7,7,6,4,2,6,5,6,5,5,5,5,0.535
5,3,7,6,3,5,6,4,6,2,4,2,4,6,5,6,7,4,2,5,0.46
4,4,7,4,5,2,2,4,9,8,7,7,5,4,4,5,8,7,4,5,0.525
5,2,3,8,3,8,2,7,7,6,5,9,7,4,2,6,2,5,6,7,0.52
5,3,4,6,5,3,8,5,3,2,9,3,6,5,5,4,3,6,2,4,0.455
1,7,5,8,5,3,4,7,9,7,3,2,6,4,7,7,8,3,3,1,0.5
5,5,8,3,4,6,6,8,4,4,5,2,3,5,6,3,1,5,7,5,0.475
5,2,9,4,6,4,5,4,8,4,5,5,5,7,2,4,4,5,2,0,0.45
1,5,7,6,5,4,9,1,8,3,4,5,2,6,6,4,4,1,3,6,0.45
5,5,6,7,4,7,2,6,6,2,6,4,5,6,7,4,8,3,2,6,0.505
5,2,3,0,6,5,5,2,6,4,5,3,5,5,8,2,9,6,5,8,0.47
8,5,5,9,6,5,4,7,7,6,5,6,3,8,7,7,4,2,8,5,0.585
3,8,8,11,4,6,5,6,3,3,8,7,5,5,6,7,7,4,7,3,0.58
2,9,3,5,5,7,9,5,1,2,4,5,6,3,1,8,2,7,4,1,0.445
5,7,3,6,6,2,3,1,5,7,8,7,5,3,3,7,7,7,6,3,0.505
8,4,6,3,7,6,2,13,1,5,4,3,1,5,1,3,2,4,6,8,0.46
4,5,6,4,6,6,9,2,2,5,8,3,5,5,2,5,6,5,7,5,0.5
7,6,3,4,6,5,4,5,2,4,3,5,5,2,4,3,6,6,3,8,0.455
2,6,3,5,5,6,3,6,6,3,10,2,1,2,3,4,3,5,3,4,0.41
7,4,5,8,3,9,10,3,6,5,4,8,7,9,5,5,1,6,5,4,0.57
5,5,3,6,6,3,3,5,4,7,4,7,1,1,9,3,6,6,7,3,0.47
2,4,7,7,13,3,5,11,6,3,3,7,2,5,8,2,3,5,5,7,0.54
3,2,12,2,4,8,6,7,4,4,10,5,3,2,7,7,4,3,8,7,0.54
6,2,9,6,3,6,6,5,7,7,4,11,8,7,6,5,6,5,3,5,0.585
5,4,2,3,6,7,6,1,8,5,5,6,4,6,4,3,4,4,1,2,0.43
2,4,6,6,6,7,5,4,5,5,2,4,8,6,10,5,8,2,9,4,0.54
5,1,4,3,5,6,4,6,9,2,5,7,1,6,8,3,6,4,4,9,0.49
5,4,3,5,6,4,2,8,9,2,4,2,3,4,6,4,3,5,3,5,0.435
6,7,8,1,6,9,10,6,5,4,6,7,7,1,3,6,2,2,3,9,0.54
8,5,5,8,2,6,3,7,4,4,9,8,6,4,8,2,5,6,3,3,0.53
6,10,3,2,4,2,4,3,5,4,6,2,5,5,4,2,6,2,2,4,0.405
